channel_id,video_id
UC03EMzf4q1-gW7VnNfzQfVQ,1
UC04YuKH0-nWmbrJtDCHLs_g,1
UC05HMLg_9b1gq0yondVMYdQ,4
UC05UWRnI6SfhkvWlSgVng7g,1
UC05VfcUlVM7r3AZ4wjuslAA,3
UC06-uShf_Tey3Rox5ZHW6yQ,1
UC06Ua_VICma2EXWMFqtsoiA,1
UC06jmSk5_6ZrPJ1BC4cVCPQ,1
UC07J2Vs5OYLgLIQVPB2vwhQ,9
UC07ZAu1Zh7t-51Y4mr6Nuig,1
UC08Mr61zjbCtZ0VuUBPdYbA,30
UC08WDMY4pegMT5NBJHX_RzQ,1
UC08tlJ0-AfpFWtd_uonZ0oQ,1
UC098jLw1avgPp3r_EYqsdmw,2
UC09fKktSo1Y7PwVrx5xpp5w,1
UC09v4tfWvgh5bPce5ClPkag,7
UC0A2e0ATmpwoiFI5b34lFpw,1
UC0AwRymrRJffcSyD-rJwATQ,500
UC0Ay_hgqIyip3FIyN5Gz3hQ,1
UC0B8imxJt9-7IllacIQjLJQ,1
UC0BSJnx8FbmeXAx2dtGjLjg,6
UC0Btk1N5V-k4eBfCxFbfyjA,1
UC0CRYvGlWGlsGxBNgvkUbAg,28
UC0DICgsbP3_7QQbVJoBeZeg,4
UC0DQbY5NvyrC1mmlJ9M7LJA,13
UC0DgREA-fXHtWCROklsoykA,69
UC0EUyJBJ1Ms90_XCqU01Ocw,2
UC0EVcphy1P0D6MoZItFnwLA,3
UC0EWL3FL95mgUPUtlFwu2bw,1
UC0EkUvfcHPhBbpXcOTlWFEg,6
UC0F0e3AS8LEmjnTzHc2rNEw,1
UC0FMXz3IdZtu3F-DXjsTWoA,1
UC0G1xkeFjPi2SHEYab6sl6A,1
UC0GyXbZSMtKnhhIR8WslQZQ,1
UC0H9yv0_HwJLu_hVj6X3flw,2
UC0IfVk--sgTeBUtYrYan3rw,1
UC0InVdvqNyNzKBl1-TL348A,2
UC0KD7NX4pkYqUTlLDyYR9Jw,2
UC0KWv6q1mZMGjY4vUXJ0sDA,2
UC0M6KBJvToQqm5hnPs1yHOg,1
UC0MUO9kwW155Mt9Apono3Qw,2
UC0MVS7vfm-TP8JvxqYunXjQ,2
UC0MhpoyOsGT5m7L2qOAqbVQ,1
UC0NNDVOUr_cd0V_hYY6lHWw,1
UC0Nj7RUNNJ_E_iR5pVZvkGg,2
UC0NlZ-dFoAMXY-NvDhxxz9A,1
UC0O7s_lzTIVBJ_MNTQsdmjw,2
UC0PCABNVT8toBV3cCE2Wy-A,2
UC0PKLLmL8pIJLjOI1gBH_pA,23
UC0PTktRYpZXb6On0_zFKWIg,1
UC0Pdbar9LI3xSdkrCfmpceg,2
UC0Q_ZkwPc1nluuaSfayHOgw,1
UC0Qxipap8iyEKzsY1OGgM3A,5
UC0RDh43u1J4DGLHqPXMDe8g,1
UC0R_94_mpb5gQTFSQy79eyw,1
UC0Rorh9eWcSivNfPFvBVJHw,1
UC0S3ykTrxh1rvYTpvM1IClw,1
UC0T0UYgtnofCQljAAc9dJ_Q,3
UC0T2FKwsF9NT-6Nmw_7gNuQ,1
UC0T6MVd3wQDB5ICAe45OxaQ,1
UC0TEamTu1Tm0XB95IdzXBkA,2
UC0TnheMjxo3Ohr_0HvwiTaA,58
UC0TsozNasaX9GSRVgMymNLw,2
UC0V0LO13SVZPRIxeq4gb5Ew,1
UC0VBp53VxYQcFt9XOsZXxvA,2
UC0VN6My1ueOFXDTgzMZSSNQ,1
UC0VaA7283j-TKFOxT-YO_2A,2
UC0VyO739bLRqia0HxCbyLvQ,8
UC0WDkxYvI7y5hC9Uv-ZZ2Jw,1
UC0WFN2jQEr8oEPBk9lRHaIg,8
UC0WSN46Q-aA0tvLU8cFqdkQ,1
UC0WdHX48dgEqwwpSFYgImWg,6
UC0XASVes_b2AfRuykxc4JiA,4
UC0XVZMFsPSwzy8LOuAp030w,3
UC0Xe97qTG02f_klD7bUcCEA,2
UC0XizMvqOqGTgs8ff2USBfw,1
UC0Y45Kd_AkCEGg-EHlEh4Zg,2
UC0YbmGeNSGPd-StauM1qajg,2
UC0Z2Kf5_N2guFH1xeMyO9_g,3
UC0ZS20M8xohJKPwWMLt7qjA,3
UC0_vW0qlwkB5ClAFFVdKwzQ,1
UC0aPMHsF9pT1KFF5vjf8wEg,27
UC0ab3ws4vygYDMtZfaJWJcg,1
UC0aj6CZnXfv02QeSzD-UAWw,4
UC0b2OzZD8RI4OG6tDNTie-A,3
UC0bB4q6DDEop428dHHraWVg,5
UC0bNByUj1rMW50t45AnCFcQ,6
UC0bmPQ_wo40qNf-6XP2N1-g,3
UC0c12B5-HYiyEDBGV5MXJMA,1
UC0cAldq1Dc6J-muoXFY5oaQ,2
UC0ch5NQC2BjR2RgAPAJTqqg,1
UC0d9e87zp6dz1Ppy51KJc9g,3
UC0dgA6lFoZIlVhZ6Rp_9PXQ,1
UC0fEL-hum1bB7HO3GL1Q7EA,1
UC0faHgKKSnDXjtUoKO8JeQg,1
UC0feGOb1AVfKKBS0JJEh1eQ,5
UC0g-uRxXjTg7rFv4UNu7uxA,2
UC0g74OglFPv3Hy1pUEd5XBw,1
UC0gOwHsNiQAtHxjYxhISG4Q,1
UC0gRjLRWvmjeQ_ppx_LVCAQ,1
UC0goaZcpa4zFmbzn1cGPs2g,1
UC0hJ9TqQMBuU26yeXB_fKmQ,4
UC0iN-8mSY2RXLMoxuUdtedg,29
UC0iQbjycftnTzDsZc0tU02g,1
UC0iiPDABxXax-0CstSKHEhw,2
UC0jfJOP0TXxMDDif4PNga4Q,1
UC0kNxONOq0YvHAYL36t999w,3
UC0ks_8n1kHPFURFA8_DJUsg,1
UC0l1f1xQNLmwDRdlOouCcvA,2
UC0mgQQ6jgoGBi99p8bwGEmg,2
UC0mvpBhOatM2tXhNqxUwAtw,18
UC0mxNG5i0LseWNnXqolqoMg,1
UC0n9UxIqxMkwtdxOg0QawWw,1
UC0nxG0QuHeS_P2ZjwKC8jBw,37
UC0oBtW6do1NIhCcFUN5ZCEQ,5
UC0ofXD6bqb9iZC3TmpyA-XA,2
UC0omAfL-YYIVOm-wYWg6PCw,4
UC0oqSb3Kjo52QQph3z619NQ,2
UC0ovvev9C3kcLYFMB7rKzpQ,9
UC0p0GZ8L0ifmqYxDshlHO4Q,4
UC0pEwpsQnsdClZSX7rrdDag,3
UC0pPfYLvEtHCK8EWO-g4DXA,2
UC0pjYdWYOiD3-toOOyZZApw,18
UC0pwk9OdFMprQbpY7lJPydg,2
UC0q3hyaooB0BKLh7hlJRdGQ,2
UC0qKA7PHkjIH3KhYI-PVL9Q,2
UC0qYCRD4NqYXwMm9a9r_KZQ,3
UC0r6lvW00tx_S0_l6_ioaCA,1
UC0rLoqfSmnXhooDQhp6JaUw,2
UC0s1JNEp5AvBYcJUhY6emtQ,4
UC0sn1Ynk-UNwoptKOblQX6g,1
UC0t0LIjP882GnJWk5tiz8lg,3
UC0tH-ouHGtWoNafGTY-qbVQ,1
UC0tSsZx5moHQvKtcjRriEnw,5
UC0tZxmZ_aAFL-LKcEtxd2zA,2
UC0tb5X3hjMRMpBIN-qTJFsA,1
UC0tw9ZBBrdgPZsMM0hmMV2g,15
UC0uB36ptd4BYWTIEpplHlOQ,1
UC0vOvutwj_3kPgd8_ChfYPg,1
UC0x07xPVJqNTuWBoZccGU4A,1
UC0xDxKep0FSP50w9PHo9_BQ,1
UC0yApU19PqATWGp-dw9WgBA,1
UC0yrmXTleRWKcTuwyolmpiw,1
UC0zD4Ke2ej6_NGULcTmdgww,1
UC0zRiGlRjPGOVToABSeE0nA,1
UC0zk5zlriduyJQkxHnRPZKA,1
UC0zseWsz68usVg_5V_VzG_A,1
UC0zsxgrWQtFmsTrme1Au7ZQ,2
UC1-V-fHmQNKY2eJ4SRi1d6w,10
UC1-gLTomYUqIOKvKsbYHhQQ,1
UC1-rAy_WYaC6GrwGngn0nRg,1
UC12eGeP-vvHbVxjxbyQ1sAg,2
UC137ZvFZl-EBFvLzVDPdEIQ,5
UC13ETuIRLcejynMYPkxPiLA,1
UC145kzoc5_vUobCEVI5MPtw,1
UC154ChcF6Tp5qH2AJMaNISw,1
UC16QJjHY3xp43iLXLUIrzgw,1
UC16XLdrGIHXJB3XM7R8OmAg,106
UC175jcvU_wTkJvVcVZ60gbw,1
UC17pSBUglMQLz2v56Li-eTg,1
UC17r3MEUjSfoZv4er62aX9Q,28
UC181FrDrP8No9FrRO0yWmZQ,2
UC18D3TxTR2PYulujCkHQjRw,1
UC19-wTUpfbSuwk4y6woBY7A,1
UC19KvKnSZAmYI41Jam2y1KQ,3
UC19s5RgAO5vlff6p7d4cCAQ,3
UC1A7VvJLRwgt8OUdFT08jfw,1
